Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,
27-03-2026,20:55,AMAZON.COM INC,US0231351067,NDQ,XNAS,5,199.4000,USD,-997.00,USD,-865.83,1.1515,-2.16,-2.00,-870.00,,5462d9b8-490c-4ec3-80a9-2200cec745d1
27-03-2026,20:54,META PLATFORMS INC CLASS A,US30303M1027,NDQ,CDED,4,525.5800,USD,-2102.32,USD,-1825.73,1.1515,-4.56,-2.00,-1832.30,,43a81366-f770-41bd-af95-cae017ffedb4
27-03-2026,20:54,ALPHABET INC CLASS A,US02079K3059,NDQ,JNST,5,274.3450,USD,-1371.72,USD,-1191.26,1.1515,-2.98,-2.00,-1196.24,,5503c6a7-f7d3-4cd0-8f95-cd15a10f80ef
16-03-2026,20:22,VISA INC CLASS A,US92826C8394,NSY,SOHO,-12,309.7050,USD,3716.46,USD,3226.11,1.1520,-8.07,-2.00,3216.05,,7ea112bf-6da8-4d4b-b9a2-4394528d6cab
16-03-2026,20:21,ADR ON SEA LTD CLASS A,US81141R1005,NSY,SOHO,-42,87.3850,USD,3670.17,USD,3185.93,1.1520,-7.96,-2.00,3175.97,,e2964a3c-d45b-4386-9cc0-91c1f1d05105
16-03-2026,16:15,NU HOLDINGS LTD CLASS A,KYG6683N1034,NSY,ARCX,68,14.3000,USD,-972.40,USD,-845.72,1.1498,-2.11,,-847.83,,adee4c90-bfd7-4112-9655-77609e2ba41c
16-03-2026,16:15,NU HOLDINGS LTD CLASS A,KYG6683N1034,NSY,ARCX,1,14.3000,USD,-14.30,USD,-12.44,1.1498,-0.03,,-12.47,,adee4c90-bfd7-4112-9655-77609e2ba41c
16-03-2026,16:15,NU HOLDINGS LTD CLASS A,KYG6683N1034,NSY,ARCX,1,14.3000,USD,-14.30,USD,-12.44,1.1498,-0.03,,-12.47,,adee4c90-bfd7-4112-9655-77609e2ba41c
16-03-2026,16:15,NU HOLDINGS LTD CLASS A,KYG6683N1034,NSY,ARCX,100,14.3000,USD,-1430.00,USD,-1243.70,1.1498,-3.11,-2.00,-1248.81,,adee4c90-bfd7-4112-9655-77609e2ba41c
16-03-2026,16:10,ADYEN NV,NL0012969182,EAM,XAMS,-2,910.4000,EUR,1820.80,EUR,1820.80,,0.00,-4.90,1815.90,,f41d42dd-8ec4-4292-be5d-6e26872ba1ec
04-03-2026,19:23,NU HOLDINGS LTD CLASS A,KYG6683N1034,NSY,JNST,100,15.1099,USD,-1510.99,USD,-1299.67,1.1626,-3.25,-2.00,-1304.92,,11a1c290-9679-4ee7-868d-466504f41fbe
04-03-2026,19:20,MERCADOLIBRE INC,US58733R1023,NDQ,ARCX,1,1785.0000,USD,-1785.00,USD,-1535.49,1.1625,-3.84,-2.00,-1541.33,,16a59f86-c677-4364-b2a1-845b784dc6c4
04-03-2026,19:11,TWILIO INC CLASS A,US90138F1021,NSY,XNAS,-9,122.0000,USD,1098.00,USD,944.36,1.1627,-2.36,-2.00,940.00,,a78a451c-fc34-4ac2-a2a6-c4c41d99946e
26-02-2026,21:59,BROADCOM INC,US11135F1012,NDQ,CDED,3,321.4100,USD,-964.23,USD,-817.01,1.1802,-2.04,-2.00,-821.05,,f9e2dec9-ffcb-4d46-8886-ab47a1c3806e
26-02-2026,21:58,MICROSOFT CORP,US5949181045,NDQ,CDED,3,401.6650,USD,-1205.00,USD,-1020.93,1.1803,-2.55,-2.00,-1025.48,f0c2fd8f-e87f-4026-96cb-2eaf486bcd17
26-02-2026,21:57,NVIDIA CORP,US67066G1040,NDQ,JNST,7,184.6699,USD,-1292.69,USD,-1095.23,1.1803,-2.74,-2.00,-1099.97,1dc9a5ab-bf4f-4d2a-96cf-1e38d158de04
09-02-2026,15:51,BROADCOM INC,US11135F1012,NDQ,BATS,4,340.0000,USD,-1360.00,USD,-1142.19,1.1907,-2.86,-2.00,-1147.05,2b1a648e-896a-45a4-bd4c-8babbc4acdfe
04-02-2026,21:53,NU HOLDINGS LTD CLASS A,KYG6683N1034,NSY,BATS,75,17.0500,USD,-1278.75,USD,-1083.33,1.1804,-2.71,-2.00,-1088.03,9243f229-9e16-4db2-8f7a-050c0abddb19
29-01-2026,17:41,MICROSOFT CORP,US5949181045,NDQ,SOHO,4,424.7500,USD,-1699.00,USD,-1422.48,1.1944,-3.56,-2.00,-1428.04,47073efc-07bd-495f-972e-d2caee0e29e4
23-01-2026,20:57,MICROSOFT CORP,US5949181045,NDQ,ARCX,2,468.7000,USD,-937.40,USD,-793.47,1.1814,-1.98,-2.00,-797.45,f9462b0a-8c0a-46c6-a6bc-47948c6981d8
23-01-2026,18:39,META PLATFORMS INC CLASS A,US30303M1027,NDQ,CDED,4,661.7400,USD,-2646.96,USD,-2246.06,1.1785,-5.62,-2.00,-2253.67,a5c7ec3f-6c70-459e-b091-d0ade4a4b03c
14-01-2026,21:44,NU HOLDINGS LTD CLASS A,KYG6683N1034,NSY,CDED,100,16.6250,USD,-1662.50,USD,-1427.78,1.1644,-3.57,-2.00,-1433.35,7d87c545-fb31-4b04-8c86-97e615850b0e
07-01-2026,20:37,AMAZON.COM INC,US0231351067,NDQ,XNAS,5,243.5900,USD,-1217.95,USD,-1042.68,1.1681,-2.61,-2.00,-1047.29,1e548460-87d7-4b74-9bde-8b7392710b27
02-01-2026,19:25,AMAZON.COM INC,US0231351067,NDQ,CDED,4,225.7600,USD,-903.04,USD,-770.25,1.1724,-1.93,-2.00,-774.18,1709bf15-d1f3-4525-a32b-3fedc1bb76b7
22-12-2025,19:14,ALPHABET INC CLASS A,US02079K3059,NDQ,CDED,4,308.8150,USD,-1235.26,USD,-1051.02,1.1753,-2.63,-2.00,-1055.65,6de685e9-a93c-467c-b1ce-0de45669f63f
22-12-2025,19:12,AMAZON.COM INC,US0231351067,NDQ,SOHO,5,227.9600,USD,-1139.80,USD,-969.64,1.1755,-2.42,-2.00,-974.06,807bdfce-2cfe-416e-9309-f7b010e9fdc5
10-12-2025,21:59,NU HOLDINGS LTD CLASS A,KYG6683N1034,NSY,SOHO,80,16.6950,USD,-1335.60,USD,-1142.13,1.1694,-2.86,-2.00,-1146.99,292615e5-a9b5-4617-aaba-b52b1c6abb93
08-12-2025,21:56,ADR ON SEA LTD CLASS A,US81141R1005,NSY,JNST,-40,128.3600,USD,5134.40,USD,4411.40,1.1639,-11.03,-2.00,4398.37,9b6ac371-f484-4e79-bb66-2c2fcc0cd49c
